fetched from: https://autoconfig.thunderbird.net/v1.1/, enriched, updated at: 2024-05-11
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
jmail.plala.or.jp;jmail.plala.or.jp:587;%EMAILLOCALPART%
iwafune.ne.jp;po.iwafune.ne.jp:25;%EMAILLOCALPART%
ji.jet.ne.jp;smtp02.jet.ne.jp:587;%EMAILLOCALPART%
khaki.plala.or.jp;khaki.plala.or.jp:587;%EMAILLOCALPART%
k1.gunmanet.or.jp;kl.wind.ne.jp:587;%EMAILLOCALPART%
kl.wind.jp;kl.wind.ne.jp:587;%EMAILLOCALPART%
kl.wind.co.jp;kl.wind.ne.jp:587;%EMAILLOCALPART%
kk.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
k1.gunmanet.ne.jp;kl.wind.ne.jp:587;%EMAILLOCALPART%
k1.wind.jp;kl.wind.ne.jp:587;%EMAILLOCALPART%
kl.gunmanet.ne.jp;kl.wind.ne.jp:587;%EMAILLOCALPART%
kmail.plala.or.jp;kmail.plala.or.jp:587;%EMAILLOCALPART%
lime.plala.or.jp;lime.plala.or.jp:587;%EMAILLOCALPART%
kl.wind.ne.jp;kl.wind.ne.jp:587;%EMAILLOCALPART%
lilac.plala.or.jp;lilac.mail.plala.or.jp:587;%EMAILLOCALPART%
lemon.plala.or.jp;lemon.mail.plala.or.jp:587;%EMAILLOCALPART%
lapis.plala.or.jp;lapis.mail.plala.or.jp:587;%EMAILLOCALPART%
live.co.jp;smtp.office365.com:587;%EMAILLOCALPART%
kl.gunmanet.or.jp;kl.wind.ne.jp:587;%EMAILLOCALPART%
live.jp;smtp.office365.com:587;%EMAILLOCALPART%
m8.cty-net.ne.jp;smtps.cty-net.ne.jp:465;%EMAILADDRESS%
m5.cty-net.ne.jp;smtps.cty-net.ne.jp:465;%EMAILADDRESS%
m2.cty-net.ne.jp;smtps.cty-net.ne.jp:465;%EMAILADDRESS%
m4.cty-net.ne.jp;smtps.cty-net.ne.jp:465;%EMAILADDRESS%
m3.cty-net.ne.jp;smtps.cty-net.ne.jp:465;%EMAILADDRESS%
m9.cty-net.ne.jp;smtps.cty-net.ne.jp:465;%EMAILADDRESS%
ma100.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
m7.cty-net.ne.jp;smtps.cty-net.ne.jp:465;%EMAILADDRESS%
mail.gunmanet.or.jp;mail.wind.ne.jp:587;%EMAILLOCALPART%
mail.gunmanet.jp;mail.wind.ne.jp:587;%EMAILLOCALPART%
mail.gunmanet.ne.jp;mail.wind.ne.jp:587;%EMAILLOCALPART%
mahoroba.ne.jp;mail.mahoroba.ne.jp:587;%EMAILLOCALPART%
m6.cty-net.ne.jp;smtps.cty-net.ne.jp:465;%EMAILADDRESS%
mail.wind.co.jp;mail.wind.ne.jp:587;%EMAILLOCALPART%
maroon.plala.or.jp;maroon.plala.or.jp:587;%EMAILLOCALPART%
mail.wind.ne.jp;mail.wind.ne.jp:587;%EMAILLOCALPART%
miomio.jp;mbox.iijmio-mail.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
ml.murakami.ne.jp;ml.murakami.ne.jp:25;%EMAILLOCALPART%
miobox.jp;mbox.iijmio-mail.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
mnet.ne.jp;mail.mnet.ne.jp:587;%EMAILADDRESS%
mail.wind.jp;mail.wind.ne.jp:587;%EMAILLOCALPART%
minuet.plala.or.jp;minuet.plala.or.jp:587;%EMAILLOCALPART%
mx4.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx2.wt.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx6.et.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx35.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx5.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx8.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx3.et.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx21.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx2.et.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx4.et.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx36.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx5.et.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx2.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx31.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx6.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx51.et.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx91.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx32.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx1.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx71.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx22.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
navy.plala.or.jp;navy.mail.plala.or.jp:587;%EMAILLOCALPART%
mx51.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
nn.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
mx52.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx61.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
mx82.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
